N,GS,DS,GM,DF,JC
1,2,5,5,6,6
2,4,6,5,4,6
3,5,5,5,3,5
4,3,5,7,6,3
5,7,4,7,6,2
6,3,4,4,6,5
7,4,4,7,6,7
8,6,3,4,7,8
9,4,6,6,4,4
10,4,5,6,4,5
11,3,4,6,5,3
12,5,7,5,4,4
13,3,5,5,5,7
14,2,7,5,3,6
15,3,3,6,4,8
16,4,5,6,8,4
17,8,4,6,5,2
18,6,7,6,3,3
19,4,3,7,6,7
20,2,4,4,6,2
21,5,6,5,6,7
22,5,3,4,5,6
23,3,4,5,5,2
24,8,5,6,5,5
25,4,6,5,6,8
26,7,2,8,4,2
27,4,7,7,6,4
28,6,3,4,6,4
29,3,6,3,7,5
30,5,2,6,6,5
31,8,4,4,6,3
32,7,7,3,6,6
33,3,5,6,5,3
34,3,5,2,4,5
35,6,5,7,2,6
36,5,3,5,5,6
37,4,6,8,3,3
38,4,6,7,6,6
39,5,5,6,4,7
40,2,4,7,4,3
41,5,4,4,6,5
42,3,7,5,5,4
43,7,4,5,3,5
44,6,7,6,4,4
45,3,6,4,5,3
46,6,5,7,5,5
47,5,4,4,6,6
48,2,4,6,5,4
49,4,3,4,7,7
50,6,5,3,5,4
51,5,5,4,3,
52,4,4,5,3,
53,6,4,5,5,
54,3,7,4,5,
55,6,4,3,5,
56,5,5,5,4,
57,3,5,6,10,
58,7,4,7,5,
59,8,7,5,6,
60,7,6,4,4,
61,4,9,5,3,
62,4,5,4,5,
63,4,5,4,6,
64,8,5,4,4,
65,5,4,6,3,
66,4,5,8,4,
67,3,5,6,6,
68,5,7,7,5,
69,7,5,5,4,
70,5,4,1,6,
71,2,8,3,8,
72,2,3,6,5,
73,3,4,4,5,
74,5,4,5,5,
75,1,4,4,4,
76,6,8,3,5,
77,4,4,5,8,
78,6,9,4,4,
79,4,7,3,5,
80,4,7,4,5,
81,3,5,6,3,
82,3,5,8,3,
83,6,7,5,4,
84,6,5,6,5,
85,3,4,5,2,
86,4,4,7,7,
87,5,6,5,4,
88,5,7,4,5,
89,5,4,6,4,
90,7,2,5,6,
91,6,5,4,5,
92,7,5,4,6,
93,4,3,10,3,
94,3,6,8,6,
95,5,7,3,5,
96,4,5,7,7,
97,5,4,5,7,
98,7,4,5,9,
99,6,4,4,5,
100,5,7,4,3,