"Year","LINEAR","NEAT","Spacewatch","LONEOS","Catalina","Pan-STARRS","NEOWISE","ATLAS","Other-US","Others","TOTAL"
"2024","0","0","0","0","343","391","5","37","68","97","941"
"2023","8","0","0","0","1092","1102","9","115","269","311","2906"
"2022","21","0","0","0","1285","1268","15","155","256","220","3220"
"2021","8","0","1","0","1304","1287","11","164","176","161","3112"
"2020","0","0","2","0","1521","1147","20","149","84","41","2964"
"2019","0","0","1","0","1069","1114","16","155","87","21","2463"
"2018","0","0","3","0","1051","541","21","123","62","34","1835"
"2017","21","0","2","0","991","888","23","96","0","29","2050"
"2016","50","0","7","0","928","766","28","20","71","21","1891"
"2015","68","0","9","0","570","754","33","3","93","33","1563"
"2014","0","0","21","0","615","615","42","0","152","38","1483"
"2013","3","0","28","0","597","362","1","0","11","36","1038"
"2012","52","0","28","0","628","256","0","0","1","32","997"
"2011","70","0","31","0","576","176","3","0","0","35","891"
"2010","101","0","48","0","599","19","148","0","0","22","937"
"2009","107","1","65","0","572","2","0","0","0","34","781"
"2008","139","0","85","1","561","0","0","0","0","17","803"
"2007","111","4","47","12","466","0","0","0","0","10","650"
"2006","94","22","103","20","392","0","0","0","0","10","641"
"2005","137","39","83","42","311","0","0","0","0","20","632"
"2004","304","26","73","39","85","0","0","0","0","13","540"
"2003","236","67","58","54","7","0","0","0","0","19","441"
"2002","286","145","23","21","1","0","0","0","0","11","487"
"2001","278","92","23","42","0","0","0","0","0","6","441"
"2000","256","16","26","38","14","0","0","0","0","12","362"
"1999","160","0","20","14","30","0","0","0","0","4","228"
"1998","137","11","34","8","3","0","0","0","0","12","205"
"1997","17","11","14","0","0","0","0","0","0","11","53"
"1996","1","10","28","0","0","0","0","0","0","6","45"
"1995","0","0","27","0","0","0","0","0","0","6","33"